,mRS=0,mRS=1,mRS=2,mRS=3,mRS=4,mRS=5,mRS=6
drip_ship_lvo_ivt,0.10295,0.09181,0.13249,0.16225,0.21864,0.11472,0.17715
drip_ship_lvo_ivt_mt,0.11199,0.10984,0.14515,0.17223,0.20739,0.10162,0.15177
drip_ship_lvo_mix,0.1112,0.10848,0.14423,0.17149,0.20827,0.10262,0.15371
drip_ship_lvo_mt,0.11129,0.11011,0.14557,0.17251,0.20743,0.10149,0.1516
drip_ship_nlvo_ivt,0.35977,0.2282,0.11612,0.11922,0.09746,0.03411,0.04513
drip_ship_weighted,0.18198,0.20754,0.12527,0.13848,0.16611,0.07603,0.10459
drip_ship_weighted_treated,0.23444,0.16784,0.13029,0.14557,0.15333,0.06865,0.09988
mothership_lvo_ivt,0.09454,0.09064,0.13307,0.16227,0.22137,0.11656,0.18155
mothership_lvo_ivt_mt,0.14982,0.12036,0.14448,0.17309,0.19159,0.09057,0.13009
mothership_lvo_mix,0.14553,0.11805,0.1436,0.17226,0.1939,0.09258,0.13408
mothership_lvo_mt,0.14982,0.12036,0.14448,0.17309,0.19159,0.09057,0.13009
mothership_nlvo_ivt,0.33768,0.2349,0.11728,0.1212,0.10295,0.03672,0.04926
mothership_weighted,0.18356,0.20957,0.12534,0.13882,0.16499,0.07509,0.10263
mothership_weighted_treated,0.2408,0.17599,0.13055,0.14694,0.14881,0.06489,0.09202
