,mRS=0,mRS=1,mRS=2,mRS=3,mRS=4,mRS=5,mRS=6
drip_ship_lvo_ivt,0.00362,0.0004,0.00031,5e-05,0.00114,0.00075,0.00177
drip_ship_lvo_ivt_mt,0.01256,0.00583,0.00262,0.00226,0.00604,0.00503,0.01025
drip_ship_lvo_mix,0.01004,0.00462,0.00206,0.00178,0.00481,0.004,0.00815
drip_ship_lvo_mt,0.01379,0.00506,0.0008,0.00115,0.00614,0.00467,0.0098
drip_ship_nlvo_ivt,0.00922,0.00297,0.00054,0.00088,0.00221,0.00103,0.00159
drip_ship_weighted,0.0017,0.00069,0.00027,0.00025,0.00066,0.00052,0.00104
drip_ship_weighted_treated,0.00682,0.00276,0.00107,0.001,0.00266,0.00208,0.00419
mothership_lvo_ivt,0.00686,0.0011,0.00041,5e-05,0.00227,0.00155,0.00375
mothership_lvo_ivt_mt,0.0148,0.00306,0.00109,0.00036,0.00575,0.00372,0.00702
mothership_lvo_mix,0.0118,0.00244,0.00087,0.00029,0.00458,0.00296,0.0056
mothership_lvo_mt,0.0148,0.00306,0.00109,0.00036,0.00575,0.00372,0.00702
mothership_nlvo_ivt,0.0184,0.00535,0.00091,0.00158,0.00469,0.00227,0.00362
mothership_weighted,0.00271,0.00073,0.00016,0.0002,0.00082,0.00047,0.00083
mothership_weighted_treated,0.01089,0.00292,0.00063,0.0008,0.00328,0.00187,0.00334
