lsoa,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_nlvo_ivt_mean_mrs,drip_ship_nlvo_ivt_mrs_less_equal_2,drip_ship_nlvo_ivt_mrs_shift,drip_ship_nlvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mean_mrs,drip_ship_lvo_ivt_mrs_less_equal_2,drip_ship_lvo_ivt_mrs_shift,drip_ship_lvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_ivt_mt_mean_mrs,drip_ship_lvo_ivt_mt_mrs_less_equal_2,drip_ship_lvo_ivt_mt_mrs_shift,drip_ship_lvo_ivt_mt_added_mrs_less_equal_2,drip_ship_lvo_mt_added_utility,drip_ship_lvo_mt_mean_mrs,drip_ship_lvo_mt_mrs_less_equal_2,drip_ship_lvo_mt_mrs_shift,drip_ship_lvo_mt_added_mrs_less_equal_2,mothership_nlvo_ivt_added_utility,mothership_nlvo_ivt_mean_mrs,mothership_nlvo_ivt_mrs_less_equal_2,mothership_nlvo_ivt_mrs_shift,mothership_nlvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mean_mrs,mothership_lvo_ivt_mrs_less_equal_2,mothership_lvo_ivt_mrs_shift,mothership_lvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_mt_added_utility,mothership_lvo_ivt_mt_mean_mrs,mothership_lvo_ivt_mt_mrs_less_equal_2,mothership_lvo_ivt_mt_mrs_shift,mothership_lvo_ivt_mt_added_mrs_less_equal_2,mothership_lvo_mt_added_utility,mothership_lvo_mt_mean_mrs,mothership_lvo_mt_mrs_less_equal_2,mothership_lvo_mt_mrs_shift,mothership_lvo_mt_added_mrs_less_equal_2,drip_ship_lvo_mix_added_utility,drip_ship_lvo_mix_mrs_less_equal_2,drip_ship_lvo_mix_mrs_shift,drip_ship_lvo_mix_added_mrs_less_equal_2,mothership_lvo_mix_added_utility,mothership_lvo_mix_mrs_less_equal_2,mothership_lvo_mix_mrs_shift,mothership_lvo_mix_added_mrs_less_equal_2,drip_ship_weighted_added_utility,drip_ship_weighted_mrs_less_equal_2,drip_ship_weighted_mrs_shift,drip_ship_weighted_added_mrs_less_equal_2,mothership_weighted_added_utility,mothership_weighted_mrs_less_equal_2,mothership_weighted_mrs_shift,mothership_weighted_added_mrs_less_equal_2,drip_ship_weighted_treated_added_utility,drip_ship_weighted_treated_mrs_less_equal_2,drip_ship_weighted_treated_mrs_shift,drip_ship_weighted_treated_added_mrs_less_equal_2,mothership_weighted_treated_added_utility,mothership_weighted_treated_mrs_less_equal_2,mothership_weighted_treated_mrs_shift,mothership_weighted_treated_added_mrs_less_equal_2
N00000001,19.0326579023751,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,109.03265790237508,257.7812760502833,121.4005615242259,181.4005615242259,0.11627,1.63991,0.70586,-0.64009,0.12586,0.05832,3.34873,0.32837,-0.29127,0.06337,0.11011,3.09737,0.38069,-0.54263,0.11569,0.11011,3.09737,0.38069,-0.54263,0.11569,0.11123,1.66924,0.70032,-0.61076,0.12032,0.0549,3.3675,0.32476,-0.2725,0.05976,0.15534,2.85614,0.42914,-0.78386,0.16414,0.15534,2.85614,0.42914,-0.78386,0.16414,0.1061,0.37664,-0.52315,0.11164,0.14756,0.42105,-0.74423,0.15605,0.02766,0.13434,-0.14461,0.02953,0.03224,0.13923,-0.16873,0.03442,0.11114,0.53987,-0.58113,0.11869,0.12955,0.55952,-0.67806,0.13834
N00000002,23.2922777214499,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,113.29227772144988,262.0408958693581,114.6777297765005,174.67772977650048,0.11454,1.64999,0.70396,-0.63001,0.12396,0.05714,3.35521,0.32713,-0.28479,0.06213,0.10762,3.11048,0.37805,-0.52952,0.11305,0.10762,3.11048,0.37805,-0.52952,0.11305,0.11398,1.65327,0.70334,-0.62673,0.12334,0.05675,3.35732,0.32672,-0.28268,0.06172,0.15937,2.83437,0.43348,-0.80563,0.16848,0.15937,2.83437,0.43348,-0.80563,0.16848,0.10371,0.3741,-0.51056,0.1091,0.15142,0.42521,-0.76511,0.16021,0.02714,0.13379,-0.14179,0.02898,0.03306,0.14013,-0.17332,0.03532,0.10908,0.53765,-0.56978,0.11647,0.13286,0.56311,-0.6965,0.14193
N00000003,20.4713346082219,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,114.6777297765005,174.67772977650048,0.11569,1.64331,0.70522,-0.63669,0.12522,0.05792,3.35092,0.32795,-0.28908,0.06295,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148,0.11398,1.65327,0.70334,-0.62673,0.12334,0.05675,3.35732,0.32672,-0.28268,0.06172,0.15937,2.83437,0.43348,-0.80563,0.16848,0.15937,2.83437,0.43348,-0.80563,0.16848,0.10529,0.37578,-0.5189,0.11078,0.15142,0.42521,-0.76511,0.16021,0.02748,0.13416,-0.14366,0.02935,0.03306,0.14013,-0.17332,0.03532,0.11045,0.53912,-0.5773,0.11794,0.13286,0.56311,-0.6965,0.14193
N00000004,24.6777297765005,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,114.6777297765005,263.4263479244087,120.0802640216665,180.0802640216665,0.11398,1.65327,0.70334,-0.62673,0.12334,0.05675,3.35732,0.32672,-0.28268,0.06172,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.10293,0.37328,-0.50646,0.10828,0.14831,0.42187,-0.74833,0.15687,0.02698,0.13361,-0.14087,0.0288,0.0324,0.13941,-0.16963,0.0346,0.10841,0.53693,-0.56609,0.11575,0.13019,0.56022,-0.68168,0.13904
N00000005,16.0884404323873,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,122.7101681851292,182.7101681851292,0.11747,1.63297,0.70717,-0.64703,0.12717,0.05914,3.34424,0.32923,-0.29576,0.06423,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11069,1.67235,0.69973,-0.60765,0.11973,0.05453,3.36948,0.32438,-0.27052,0.05938,0.15456,2.86037,0.42829,-0.77963,0.16329,0.15456,2.86037,0.42829,-0.77963,0.16329,0.10775,0.37839,-0.53189,0.11339,0.14681,0.42024,-0.74018,0.15524,0.02801,0.13472,-0.14656,0.02992,0.03208,0.13906,-0.16784,0.03425,0.11257,0.5414,-0.58898,0.12022,0.1289,0.55881,-0.67447,0.13763
N00000006,20.4713346082219,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,117.4048869057523,177.4048869057523,0.11569,1.64331,0.70522,-0.63669,0.12522,0.05792,3.35092,0.32795,-0.28908,0.06295,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148,0.11287,1.65974,0.70211,-0.62026,0.12211,0.056,3.36145,0.32593,-0.27855,0.06093,0.15774,2.84321,0.43172,-0.79679,0.16672,0.15774,2.84321,0.43172,-0.79679,0.16672,0.10529,0.37578,-0.5189,0.11078,0.14986,0.42352,-0.75663,0.15852,0.02748,0.13416,-0.14366,0.02935,0.03273,0.13976,-0.17146,0.03495,0.11045,0.53912,-0.5773,0.11794,0.13152,0.56165,-0.68902,0.14047
N00000007,13.034936869946,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,122.7101681851292,182.7101681851292,0.1187,1.62577,0.70852,-0.65423,0.12852,0.05999,3.33957,0.33013,-0.30043,0.06513,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11069,1.67235,0.69973,-0.60765,0.11973,0.05453,3.36948,0.32438,-0.27052,0.05938,0.15456,2.86037,0.42829,-0.77963,0.16329,0.15456,2.86037,0.42829,-0.77963,0.16329,0.10946,0.38021,-0.54096,0.11521,0.14681,0.42024,-0.74018,0.15524,0.02838,0.13512,-0.14859,0.03031,0.03208,0.13906,-0.16784,0.03425,0.11404,0.54299,-0.59712,0.12181,0.1289,0.55881,-0.67447,0.13763
N00000008,13.034936869946,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,118.7486181479082,178.7486181479082,0.1187,1.62577,0.70852,-0.65423,0.12852,0.05999,3.33957,0.33013,-0.30043,0.06513,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11232,1.66293,0.70151,-0.61707,0.12151,0.05563,3.36349,0.32554,-0.27651,0.06054,0.15693,2.84756,0.43085,-0.79244,0.16585,0.15693,2.84756,0.43085,-0.79244,0.16585,0.10946,0.38021,-0.54096,0.11521,0.14908,0.42269,-0.75246,0.15769,0.02838,0.13512,-0.14859,0.03031,0.03256,0.13958,-0.17054,0.03478,0.11404,0.54299,-0.59712,0.12181,0.13085,0.56093,-0.68533,0.13975
N00000009,14.5772411907136,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,117.4048869057523,177.4048869057523,0.11808,1.6294,0.70784,-0.6506,0.12784,0.05956,3.34193,0.32967,-0.29807,0.06467,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11287,1.65974,0.70211,-0.62026,0.12211,0.056,3.36145,0.32593,-0.27855,0.06093,0.15774,2.84321,0.43172,-0.79679,0.16672,0.15774,2.84321,0.43172,-0.79679,0.16672,0.1086,0.37929,-0.53637,0.11429,0.14986,0.42352,-0.75663,0.15852,0.02819,0.13492,-0.14757,0.03011,0.03273,0.13976,-0.17146,0.03495,0.1133,0.54219,-0.59301,0.12101,0.13152,0.56165,-0.68902,0.14047
N00000010,17.5725337832552,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,107.5725337832552,256.3211519311634,118.7486181479082,178.7486181479082,0.11687,1.63647,0.70651,-0.64353,0.12651,0.05873,3.34651,0.3288,-0.29349,0.0638,0.11096,3.09287,0.3816,-0.54713,0.1166,0.11096,3.09287,0.3816,-0.54713,0.1166,0.11232,1.66293,0.70151,-0.61707,0.12151,0.05563,3.36349,0.32554,-0.27651,0.06054,0.15693,2.84756,0.43085,-0.79244,0.16585,0.15693,2.84756,0.43085,-0.79244,0.16585,0.10691,0.37751,-0.52748,0.11251,0.14908,0.42269,-0.75246,0.15769,0.02783,0.13453,-0.14558,0.02972,0.03256,0.13958,-0.17054,0.03478,0.11185,0.54063,-0.58502,0.11945,0.13085,0.56093,-0.68533,0.13975
N00000011,11.4562670706944,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,120.0802640216665,180.0802640216665,0.11933,1.62206,0.70922,-0.65794,0.12922,0.06043,3.33716,0.33059,-0.30284,0.06559,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.11036,0.38116,-0.54564,0.11616,0.14831,0.42187,-0.74833,0.15687,0.02857,0.13533,-0.14963,0.03052,0.0324,0.13941,-0.16963,0.0346,0.11481,0.54382,-0.60132,0.12264,0.13019,0.56022,-0.68168,0.13904
N00000012,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,1.61824,0.70994,-0.66176,0.12994,0.06088,3.33467,0.33107,-0.30533,0.06607,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.11127,0.38213,-0.55048,0.11713,0.14831,0.42187,-0.74833,0.15687,0.02876,0.13554,-0.15071,0.03073,0.0324,0.13941,-0.16963,0.0346,0.11559,0.54466,-0.60565,0.12348,0.13019,0.56022,-0.68168,0.13904
N00000013,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,1.61824,0.70994,-0.66176,0.12994,0.06088,3.33467,0.33107,-0.30533,0.06607,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.11127,0.38213,-0.55048,0.11713,0.14831,0.42187,-0.74833,0.15687,0.02876,0.13554,-0.15071,0.03073,0.0324,0.13941,-0.16963,0.0346,0.11559,0.54466,-0.60565,0.12348,0.13019,0.56022,-0.68168,0.13904
N00000014,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,1.61824,0.70994,-0.66176,0.12994,0.06088,3.33467,0.33107,-0.30533,0.06607,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142,0.11177,1.6661,0.70091,-0.6139,0.12091,0.05526,3.3655,0.32515,-0.2745,0.06015,0.15613,2.85187,0.42999,-0.78813,0.16499,0.15613,2.85187,0.42999,-0.78813,0.16499,0.11127,0.38213,-0.55048,0.11713,0.14831,0.42187,-0.74833,0.15687,0.02876,0.13554,-0.15071,0.03073,0.0324,0.13941,-0.16963,0.0346,0.11559,0.54466,-0.60565,0.12348,0.13019,0.56022,-0.68168,0.13904
N00000015,11.4562670706944,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,121.4005615242259,181.4005615242259,0.11933,1.62206,0.70922,-0.65794,0.12922,0.06043,3.33716,0.33059,-0.30284,0.06559,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11123,1.66924,0.70032,-0.61076,0.12032,0.0549,3.3675,0.32476,-0.2725,0.05976,0.15534,2.85614,0.42914,-0.78386,0.16414,0.15534,2.85614,0.42914,-0.78386,0.16414,0.11036,0.38116,-0.54564,0.11616,0.14756,0.42105,-0.74423,0.15605,0.02857,0.13533,-0.14963,0.03052,0.03224,0.13923,-0.16873,0.03442,0.11481,0.54382,-0.60132,0.12264,0.12955,0.55952,-0.67806,0.13834
