from_postcode,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_mt_added_utility,mothership_nlvo_ivt_added_utility,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mt_added_utility,mothership_lvo_mt_added_utility,drip_ship_lvo_mix_added_utility,mothership_lvo_mix_added_utility,drip_ship_weighted_added_utility,mothership_weighted_added_utility,drip_ship_weighted_treated_added_utility,mothership_weighted_treated_added_utility
N00000001,19.0326579023751,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,109.03265790237508,257.7812760502833,121.4005615242259,181.4005615242259,0.11627,0.05832,0.11011,0.11011,0.11123,0.0549,0.15534,0.15534,0.1061,0.14756,0.02766,0.03224,0.11114,0.12955
N00000002,23.2922777214499,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,113.29227772144988,262.0408958693581,114.6777297765005,174.67772977650048,0.11454,0.05714,0.10762,0.10762,0.11398,0.05675,0.15937,0.15937,0.10371,0.15142,0.02714,0.03306,0.10908,0.13286
N00000003,20.4713346082219,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,114.6777297765005,174.67772977650048,0.11569,0.05792,0.10927,0.10927,0.11398,0.05675,0.15937,0.15937,0.10529,0.15142,0.02748,0.03306,0.11045,0.13286
N00000004,24.6777297765005,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,114.6777297765005,263.4263479244087,120.0802640216665,180.0802640216665,0.11398,0.05675,0.10681,0.10681,0.11177,0.05526,0.15613,0.15613,0.10293,0.14831,0.02698,0.0324,0.10841,0.13019
N00000005,16.0884404323873,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,122.7101681851292,182.7101681851292,0.11747,0.05914,0.11183,0.11183,0.11069,0.05453,0.15456,0.15456,0.10775,0.14681,0.02801,0.03208,0.11257,0.1289
N00000006,20.4713346082219,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,117.4048869057523,177.4048869057523,0.11569,0.05792,0.10927,0.10927,0.11287,0.056,0.15774,0.15774,0.10529,0.14986,0.02748,0.03273,0.11045,0.13152
N00000007,13.034936869946,BT412RL,32.7101681851292,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,122.7101681851292,182.7101681851292,0.1187,0.05999,0.11362,0.11362,0.11069,0.05453,0.15456,0.15456,0.10946,0.14681,0.02838,0.03208,0.11404,0.1289
N00000008,13.034936869946,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,118.7486181479082,178.7486181479082,0.1187,0.05999,0.11362,0.11362,0.11232,0.05563,0.15693,0.15693,0.10946,0.14908,0.02838,0.03256,0.11404,0.13085
N00000009,14.5772411907136,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,117.4048869057523,177.4048869057523,0.11808,0.05956,0.11272,0.11272,0.11287,0.056,0.15774,0.15774,0.1086,0.14986,0.02819,0.03273,0.1133,0.13152
N00000010,17.5725337832552,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,107.5725337832552,256.3211519311634,118.7486181479082,178.7486181479082,0.11687,0.05873,0.11096,0.11096,0.11232,0.05563,0.15693,0.15693,0.10691,0.14908,0.02783,0.03256,0.11185,0.13085
N00000011,11.4562670706944,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,120.0802640216665,180.0802640216665,0.11933,0.06043,0.11455,0.11455,0.11177,0.05526,0.15613,0.15613,0.11036,0.14831,0.02857,0.0324,0.11481,0.13019
N00000012,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000013,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000014,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000015,11.4562670706944,BT412RL,31.4005615242259,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,121.4005615242259,181.4005615242259,0.11933,0.06043,0.11455,0.11455,0.11123,0.0549,0.15534,0.15534,0.11036,0.14756,0.02857,0.03224,0.11481,0.12955
N00000016,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000017,9.83402616304834,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,118.7486181479082,178.7486181479082,0.11999,0.06088,0.1155,0.1155,0.11232,0.05563,0.15693,0.15693,0.11127,0.14908,0.02876,0.03256,0.11559,0.13085
N00000018,11.4562670706944,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,117.4048869057523,177.4048869057523,0.11933,0.06043,0.11455,0.11455,0.11287,0.056,0.15774,0.15774,0.11036,0.14986,0.02857,0.03273,0.11481,0.13152
N00000019,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000020,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000021,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000022,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000023,9.83402616304834,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,117.4048869057523,177.4048869057523,0.11999,0.06088,0.1155,0.1155,0.11287,0.056,0.15774,0.15774,0.11127,0.14986,0.02876,0.03273,0.11559,0.13152
N00000024,20.4713346082219,BT412RL,24.6777297765005,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,114.6777297765005,174.67772977650048,0.11569,0.05792,0.10927,0.10927,0.11398,0.05675,0.15937,0.15937,0.10529,0.15142,0.02748,0.03306,0.11045,0.13286
N00000025,21.8906326516112,BT126BA,21.8906326516112,BT126BA,0.0,BT126BA,False,111.8906326516112,171.8906326516112,111.8906326516112,171.8906326516112,0.11511,0.05753,0.16104,0.16104,0.11511,0.05753,0.16104,0.16104,0.15302,0.15302,0.0334,0.0334,0.13422,0.13422
N00000026,20.4713346082219,BT412RL,21.8906326516112,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,111.8906326516112,171.8906326516112,0.11569,0.05792,0.10927,0.10927,0.11511,0.05753,0.16104,0.16104,0.10529,0.15302,0.02748,0.0334,0.11045,0.13422
N00000027,24.6777297765005,BT126BA,24.6777297765005,BT126BA,0.0,BT126BA,False,114.6777297765005,174.67772977650048,114.6777297765005,174.67772977650048,0.11398,0.05675,0.15937,0.15937,0.11398,0.05675,0.15937,0.15937,0.15142,0.15142,0.03306,0.03306,0.13286,0.13286
N00000028,24.6777297765005,BT412RL,26.0482389454077,BT126BA,28.7486181479082,BT126BA,True,114.6777297765005,263.4263479244087,116.0482389454077,176.04823894540772,0.11398,0.05675,0.10681,0.10681,0.11342,0.05637,0.15855,0.15855,0.10293,0.15063,0.02698,0.03289,0.10841,0.13218
N00000029,17.5725337832552,BT412RL,23.2922777214499,BT126BA,28.7486181479082,BT126BA,True,107.5725337832552,256.3211519311634,113.29227772144988,173.2922777214499,0.11687,0.05873,0.11096,0.11096,0.11454,0.05714,0.1602,0.1602,0.10691,0.15221,0.02783,0.03323,0.11185,0.13353
N00000030,19.0326579023751,BT126BA,19.0326579023751,BT126BA,0.0,BT126BA,False,109.03265790237508,169.0326579023751,109.03265790237508,169.0326579023751,0.11627,0.05832,0.16275,0.16275,0.11627,0.05832,0.16275,0.16275,0.15466,0.15466,0.03375,0.03375,0.13562,0.13562
N00000031,20.4713346082219,BT412RL,39.1166217609521,BT126BA,28.7486181479082,BT126BA,True,110.4713346082219,259.2199527561301,129.1166217609521,189.1166217609521,0.11569,0.05792,0.10927,0.10927,0.10805,0.05277,0.15073,0.15073,0.10529,0.14314,0.02748,0.03129,0.11045,0.12574
N00000032,16.0884404323873,BT412RL,35.2996111471651,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,125.29961114716512,185.2996111471651,0.11747,0.05914,0.11183,0.11183,0.10963,0.05382,0.15301,0.15301,0.10775,0.14532,0.02801,0.03176,0.11257,0.12763
N00000033,16.0884404323873,BT412RL,35.2996111471651,BT126BA,28.7486181479082,BT126BA,True,106.0884404323873,254.8370585802955,125.29961114716512,185.2996111471651,0.11747,0.05914,0.11183,0.11183,0.10963,0.05382,0.15301,0.15301,0.10775,0.14532,0.02801,0.03176,0.11257,0.12763
