from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000001,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000002,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000003,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000004,0.10234,1.7206,0.69056,-0.5594,0.11056,0.049,3.39968,0.31856,-0.24032,0.05356,0.10187,3.14067,0.37196,-0.49933,0.10696,0.10187,3.14067,0.37196,-0.49933,0.10696
N00000005,0.10338,1.71461,0.6917,-0.56539,0.1117,0.04968,3.39597,0.31927,-0.24403,0.05427,0.10332,3.13306,0.3735,-0.50694,0.1085,0.10332,3.13306,0.3735,-0.50694,0.1085
N00000006,0.10338,1.71461,0.6917,-0.56539,0.1117,0.04968,3.39597,0.31927,-0.24403,0.05427,0.10332,3.13306,0.3735,-0.50694,0.1085,0.10332,3.13306,0.3735,-0.50694,0.1085
N00000007,0.10338,1.71461,0.6917,-0.56539,0.1117,0.04968,3.39597,0.31927,-0.24403,0.05427,0.10332,3.13306,0.3735,-0.50694,0.1085,0.10332,3.13306,0.3735,-0.50694,0.1085
N00000008,0.10496,1.7055,0.69344,-0.5745,0.11344,0.05072,3.39031,0.32037,-0.24969,0.05537,0.10553,3.12145,0.37584,-0.51855,0.11084,0.10553,3.12145,0.37584,-0.51855,0.11084
N00000009,0.10549,1.70243,0.69402,-0.57757,0.11402,0.05107,3.38839,0.32074,-0.25161,0.05574,0.10628,3.11752,0.37663,-0.52248,0.11163,0.10628,3.11752,0.37663,-0.52248,0.11163
N00000010,0.10496,1.7055,0.69344,-0.5745,0.11344,0.05072,3.39031,0.32037,-0.24969,0.05537,0.10553,3.12145,0.37584,-0.51855,0.11084,0.10553,3.12145,0.37584,-0.51855,0.11084
N00000011,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000012,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000013,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000014,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000015,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000016,0.10443,1.70856,0.69286,-0.57144,0.11286,0.05037,3.39221,0.32,-0.24779,0.055,0.10479,3.12535,0.37505,-0.51465,0.11005,0.10479,3.12535,0.37505,-0.51465,0.11005
N00000017,0.10549,1.70243,0.69402,-0.57757,0.11402,0.05107,3.38839,0.32074,-0.25161,0.05574,0.10628,3.11752,0.37663,-0.52248,0.11163,0.10628,3.11752,0.37663,-0.52248,0.11163
N00000018,0.10549,1.70243,0.69402,-0.57757,0.11402,0.05107,3.38839,0.32074,-0.25161,0.05574,0.10628,3.11752,0.37663,-0.52248,0.11163,0.10628,3.11752,0.37663,-0.52248,0.11163
N00000019,0.10549,1.70243,0.69402,-0.57757,0.11402,0.05107,3.38839,0.32074,-0.25161,0.05574,0.10628,3.11752,0.37663,-0.52248,0.11163,0.10628,3.11752,0.37663,-0.52248,0.11163
