from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000001,0.1122,1.66361,0.70138,-0.61639,0.12138,0.05555,3.36392,0.32545,-0.27608,0.06045,0.11011,3.09737,0.38069,-0.54263,0.11569,0.11011,3.09737,0.38069,-0.54263,0.11569
N00000002,0.11045,1.67374,0.69946,-0.60626,0.11946,0.05437,3.37036,0.32421,-0.26964,0.05921,0.10762,3.11048,0.37805,-0.52952,0.11305,0.10762,3.11048,0.37805,-0.52952,0.11305
N00000003,0.11161,1.66703,0.70073,-0.61297,0.12073,0.05515,3.3661,0.32503,-0.2739,0.06003,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148
N00000004,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
N00000005,0.1134,1.65662,0.7027,-0.62338,0.1227,0.05636,3.35946,0.32631,-0.28054,0.06131,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11183,3.08828,0.38252,-0.55172,0.11752
N00000006,0.11161,1.66703,0.70073,-0.61297,0.12073,0.05515,3.3661,0.32503,-0.2739,0.06003,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148
N00000007,0.11465,1.64938,0.70407,-0.63062,0.12407,0.05721,3.35482,0.3272,-0.28518,0.0622,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942
N00000008,0.11465,1.64938,0.70407,-0.63062,0.12407,0.05721,3.35482,0.3272,-0.28518,0.0622,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942
N00000009,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
N00000010,0.1128,1.66014,0.70204,-0.61986,0.12204,0.05595,3.36171,0.32588,-0.27829,0.06088,0.11096,3.09287,0.3816,-0.54713,0.1166,0.11096,3.09287,0.3816,-0.54713,0.1166
N00000011,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000012,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000013,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000014,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000015,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000016,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000017,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000018,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000019,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000020,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000021,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000022,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000023,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000024,0.11161,1.66703,0.70073,-0.61297,0.12073,0.05515,3.3661,0.32503,-0.2739,0.06003,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148
N00000025,0.11045,1.67374,0.69946,-0.60626,0.11946,0.05437,3.37036,0.32421,-0.26964,0.05921,0.10762,3.11048,0.37805,-0.52952,0.11305,0.10762,3.11048,0.37805,-0.52952,0.11305
N00000026,0.11161,1.66703,0.70073,-0.61297,0.12073,0.05515,3.3661,0.32503,-0.2739,0.06003,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148
N00000027,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
N00000028,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
N00000029,0.1128,1.66014,0.70204,-0.61986,0.12204,0.05595,3.36171,0.32588,-0.27829,0.06088,0.11096,3.09287,0.3816,-0.54713,0.1166,0.11096,3.09287,0.3816,-0.54713,0.1166
N00000030,0.11103,1.6704,0.7001,-0.6096,0.1201,0.05476,3.36824,0.32462,-0.27176,0.05962,0.10844,3.10617,0.37892,-0.53383,0.11392,0.10844,3.10617,0.37892,-0.53383,0.11392
N00000031,0.11161,1.66703,0.70073,-0.61297,0.12073,0.05515,3.3661,0.32503,-0.2739,0.06003,0.10927,3.1018,0.3798,-0.5382,0.1148,0.10927,3.1018,0.3798,-0.5382,0.1148
N00000032,0.1134,1.65662,0.7027,-0.62338,0.1227,0.05636,3.35946,0.32631,-0.28054,0.06131,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11183,3.08828,0.38252,-0.55172,0.11752
N00000033,0.1134,1.65662,0.7027,-0.62338,0.1227,0.05636,3.35946,0.32631,-0.28054,0.06131,0.11183,3.08828,0.38252,-0.55172,0.11752,0.11183,3.08828,0.38252,-0.55172,0.11752
