from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000001,0.09429,1.76674,0.68175,-0.51326,0.10175,0.04381,3.42786,0.3131,-0.21214,0.0481,0.06175,3.3493,0.33003,-0.2907,0.06503,0.06175,3.3493,0.33003,-0.2907,0.06503
N00000002,0.09283,1.77511,0.68015,-0.50489,0.10015,0.04288,3.43291,0.31212,-0.20709,0.04712,0.05981,3.3593,0.32803,-0.2807,0.06303,0.05981,3.3593,0.32803,-0.2807,0.06303
N00000003,0.0938,1.76953,0.68122,-0.51047,0.10122,0.0435,3.42955,0.31277,-0.21045,0.04777,0.0611,3.35265,0.32936,-0.28735,0.06436,0.0611,3.35265,0.32936,-0.28735,0.06436
N00000004,0.09283,1.77511,0.68015,-0.50489,0.10015,0.04288,3.43291,0.31212,-0.20709,0.04712,0.05981,3.3593,0.32803,-0.2807,0.06303,0.05981,3.3593,0.32803,-0.2807,0.06303
N00000005,0.09577,1.75829,0.68337,-0.52171,0.10337,0.04476,3.42275,0.31409,-0.21725,0.04909,0.06371,3.33916,0.33206,-0.30084,0.06706,0.06371,3.33916,0.33206,-0.30084,0.06706
N00000006,0.09429,1.76674,0.68175,-0.51326,0.10175,0.04381,3.42786,0.3131,-0.21214,0.0481,0.06175,3.3493,0.33003,-0.2907,0.06503,0.06175,3.3493,0.33003,-0.2907,0.06503
N00000007,0.09676,1.75261,0.68446,-0.52739,0.10446,0.04539,3.4193,0.31476,-0.2207,0.04976,0.06504,3.33232,0.33343,-0.30768,0.06843,0.06504,3.33232,0.33343,-0.30768,0.06843
N00000008,0.09627,1.75545,0.68391,-0.52455,0.10391,0.04507,3.42103,0.31442,-0.21897,0.04942,0.06437,3.33575,0.33274,-0.30425,0.06774,0.06437,3.33575,0.33274,-0.30425,0.06774
N00000009,0.09627,1.75545,0.68391,-0.52455,0.10391,0.04507,3.42103,0.31442,-0.21897,0.04942,0.06437,3.33575,0.33274,-0.30425,0.06774,0.06437,3.33575,0.33274,-0.30425,0.06774
N00000010,0.09479,1.76393,0.68229,-0.51607,0.10229,0.04413,3.42617,0.31343,-0.21383,0.04843,0.0624,3.34593,0.3307,-0.29407,0.0657,0.0624,3.34593,0.3307,-0.29407,0.0657
N00000011,0.09726,1.74976,0.685,-0.53024,0.105,0.04571,3.41757,0.31509,-0.22243,0.05009,0.0657,3.32887,0.33412,-0.31113,0.06912,0.0657,3.32887,0.33412,-0.31113,0.06912
N00000012,0.09726,1.74976,0.685,-0.53024,0.105,0.04571,3.41757,0.31509,-0.22243,0.05009,0.0657,3.32887,0.33412,-0.31113,0.06912,0.0657,3.32887,0.33412,-0.31113,0.06912
N00000013,0.09776,1.74689,0.68555,-0.53311,0.10555,0.04603,3.41582,0.31543,-0.22418,0.05043,0.06637,3.32541,0.33481,-0.31459,0.06981,0.06637,3.32541,0.33481,-0.31459,0.06981
N00000014,0.09776,1.74689,0.68555,-0.53311,0.10555,0.04603,3.41582,0.31543,-0.22418,0.05043,0.06637,3.32541,0.33481,-0.31459,0.06981,0.06637,3.32541,0.33481,-0.31459,0.06981
N00000015,0.09726,1.74976,0.685,-0.53024,0.105,0.04571,3.41757,0.31509,-0.22243,0.05009,0.0657,3.32887,0.33412,-0.31113,0.06912,0.0657,3.32887,0.33412,-0.31113,0.06912
