from_postcode,BT126BA_ivt,BT126BA_mt,BT161RH_ivt,BT161RH_mt,BT358DR_ivt,BT358DR_mt,BT412RL_ivt,BT412RL_mt,BT476SB_ivt,BT476SB_mt,BT521HS_ivt,BT521HS_mt,BT635QQ_ivt,BT635QQ_mt,BT746DN_ivt,BT746DN_mt
N00000001,131.4005615242259,181.4005615242259,137.85266505360158,266.8853229559767,164.2236410011559,325.5948754528472,119.03265790237509,257.7812760502833,179.8956428122916,378.2956428122916,161.9268585241596,341.82479716947176,136.5804618603731,284.4331269139747,202.7,416.7
N00000002,124.6777297765005,174.67772977650048,137.85266505360158,266.8853229559767,161.9268585241596,323.29809297585086,123.29227772144989,262.0408958693581,183.2,381.6,165.3660455230301,345.2639841683423,134.00967400629258,281.86233905989417,200.1,414.1
N00000003,124.6777297765005,174.67772977650048,137.85266505360158,266.8853229559767,163.0772787396216,324.4485131913129,120.4713346082219,259.2199527561301,180.9910768517414,379.39107685174145,163.0772787396216,342.9752173849338,135.2996111471651,283.1522762007667,201.4,415.4
N00000004,130.0802640216665,180.0802640216665,142.8625469209214,271.8952048232965,166.5045880112487,327.87582246294,124.6777297765005,263.4263479244087,183.2,381.6,165.3660455230301,345.2639841683423,139.1166217609521,286.9692868145537,205.3,419.3
N00000005,132.7101681851292,182.7101681851292,140.372699739972,269.4053576423471,166.5045880112487,327.87582246294,116.0884404323873,254.8370585802955,176.5915751408553,374.9915751408553,158.4501735056364,338.34811215094857,140.372699739972,288.2253647935736,206.6,420.6
N00000006,127.4048869057523,177.4048869057523,140.372699739972,269.4053576423471,164.2236410011559,325.5948754528472,120.4713346082219,259.2199527561301,179.8956428122916,378.2956428122916,161.9268585241596,341.82479716947176,136.5804618603731,284.4331269139747,202.7,416.7
N00000007,132.7101681851292,182.7101681851292,140.372699739972,269.4053576423471,168.77044888866521,330.1416833403565,113.034936869946,251.78355501785418,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,142.8625469209214,290.715211974523,209.2,423.2
N00000008,128.7486181479082,178.7486181479082,136.5804618603731,265.6131197627482,167.6393599541199,329.01059440581116,113.034936869946,251.78355501785418,175.4841013054998,373.8841013054998,157.2824173957882,337.1803560411004,141.6212373612667,289.4739024148683,207.9,421.9
N00000009,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,169.8979386453122,331.2691730970035,114.57724119071361,253.3258593386218,175.4841013054998,373.8841013054998,157.2824173957882,337.1803560411004,141.6212373612667,289.4739024148683,207.9,421.9
N00000010,128.7486181479082,178.7486181479082,136.5804618603731,265.6131197627482,165.3660455230301,326.7372799747214,117.5725337832552,256.3211519311634,177.6959497099794,376.09594970997944,160.77227531473432,340.6702139600465,137.85266505360158,285.70533010720317,204.0,418.0
N00000011,130.0802640216665,180.0802640216665,137.85266505360158,266.8853229559767,173.2596001590327,334.630834610724,111.4562670706944,250.20488521860258,172.142438746773,370.542438746773,154.9328533660975,334.8307920114097,144.0969174783216,291.94958253192317,210.5,424.5
N00000012,130.0802640216665,180.0802640216665,137.85266505360158,266.8853229559767,173.2596001590327,334.630834610724,109.83402616304834,248.58264431095654,172.142438746773,370.542438746773,154.9328533660975,334.8307920114097,144.0969174783216,291.94958253192317,210.5,424.5
N00000013,130.0802640216665,180.0802640216665,137.85266505360158,266.8853229559767,173.2596001590327,334.630834610724,109.83402616304834,248.58264431095654,172.142438746773,370.542438746773,153.7507676882285,333.6487063335407,144.0969174783216,291.94958253192317,210.5,424.5
N00000014,130.0802640216665,180.0802640216665,137.85266505360158,266.8853229559767,172.142438746773,333.5136731984643,109.83402616304834,248.58264431095654,172.142438746773,370.542438746773,153.7507676882285,333.6487063335407,144.0969174783216,291.94958253192317,210.5,424.5
N00000015,131.4005615242259,181.4005615242259,137.85266505360158,266.8853229559767,173.2596001590327,334.630834610724,111.4562670706944,250.20488521860258,173.2596001590327,371.6596001590327,154.9328533660975,334.8307920114097,144.0969174783216,291.94958253192317,210.5,424.5
N00000016,130.0802640216665,180.0802640216665,137.85266505360158,266.8853229559767,173.2596001590327,334.630834610724,109.83402616304834,248.58264431095654,172.142438746773,370.542438746773,153.7507676882285,333.6487063335407,144.0969174783216,291.94958253192317,210.5,424.5
N00000017,128.7486181479082,178.7486181479082,135.2996111471651,264.33226904954023,171.0219095730246,332.39314402471587,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,157.2824173957882,337.1803560411004,142.8625469209214,290.715211974523,209.2,423.2
N00000018,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,171.0219095730246,332.39314402471587,111.4562670706944,250.20488521860258,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,142.8625469209214,290.715211974523,209.2,423.2
N00000019,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,171.0219095730246,332.39314402471587,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,144.0969174783216,291.94958253192317,210.5,424.5
N00000020,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,171.0219095730246,332.39314402471587,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,142.8625469209214,290.715211974523,209.2,423.2
N00000021,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,169.8979386453122,331.2691730970035,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,157.2824173957882,337.1803560411004,142.8625469209214,290.715211974523,209.2,423.2
N00000022,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,169.8979386453122,331.2691730970035,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,142.8625469209214,290.715211974523,209.2,423.2
N00000023,127.4048869057523,177.4048869057523,135.2996111471651,264.33226904954023,169.8979386453122,331.2691730970035,109.83402616304834,248.58264431095654,174.37346489680561,372.77346489680565,156.1100223905244,336.0079610358366,142.8625469209214,290.715211974523,209.2,423.2
N00000024,124.6777297765005,174.67772977650048,136.5804618603731,265.6131197627482,165.3660455230301,326.7372799747214,120.4713346082219,259.2199527561301,179.8956428122916,378.2956428122916,161.9268585241596,341.82479716947176,139.1166217609521,286.9692868145537,205.3,419.3
N00000025,121.8906326516112,171.8906326516112,131.4005615242259,260.433219426601,159.6134188979342,320.9846533496255,123.29227772144989,262.0408958693581,183.2,381.6,165.3660455230301,345.2639841683423,137.85266505360158,285.70533010720317,204.0,418.0
N00000026,121.8906326516112,171.8906326516112,135.2996111471651,264.33226904954023,163.0772787396216,324.4485131913129,120.4713346082219,259.2199527561301,180.9910768517414,379.39107685174145,163.0772787396216,342.9752173849338,135.2996111471651,283.1522762007667,201.4,415.4
